id;address;city;loyalty_points;verified;customer_id
1;despite awkwardly;Hicklestad;11047;false;1
2;forenenst barge over;Fullerton;6127;true;2
3;failing impanel;Lake Tonyfurt;17157;false;3
4;slight;Jennyfermouth;32328;true;4
5;minister really;New Calvinville;26242;true;5
6;why deploy helpless;Fort Mattiestad;12600;true;6
7;tomorrow sociable;West Stephanstad;15199;false;7
8;unscramble describe pinion;Lake Sidney;20326;true;8
9;knavishly;Irvine;19375;false;9
10;skyscraper;Hyattstead;8626;true;10
11;where notwithstanding;Port Tobinside;25595;true;11
12;drat;Santee;29093;false;12
13;important allegation;West Alexys;7106;true;13
14;among untried;East Ednachester;32586;true;14
15;rust beside;Port Ed;18254;true;15
16;slowly underneath;Dublin;5116;false;16
17;vivaciously but;Corona;29108;false;17
18;shakily;Columbia;24826;false;18
19;overstay;Emmerichton;20886;true;19
20;before;Swiftview;20865;false;20
21;stigmatize e-mail helpfully;Chicopee;21262;true;21
22;coin rudely knitting;West Fae;22029;false;22
23;sternly mallard;Genevaburgh;10248;true;23
24;to pneumonia;Kshlerinfield;21689;true;24
25;questioningly immediately miserable;East Anya;24916;true;25
26;word;Lorenechester;28870;true;26
27;gray unknown;Haverhill;28588;true;27
28;hm;Nealside;28521;true;28
29;masticate;North Stanleyside;7175;true;29
30;rigidly traffic;Smithboro;17504;true;30
